"StoryType";"Pag";"N";"Url";"Schema";"Www";"Dominio";"Percorso";"Frammento";"Lunghezza";"tinyurl"
1;1;1;"http://dati.ustat.miur.it/organization/miur";"http://";"";"dati.ustat.miur.it";"organization/miur";"";43;
1;2;1;"https://en.wikipedia.org/wiki/File:Italy_IV_century_BC_-_Latina.svg";"https://";"";"en.wikipedia.org";"wiki/File:Italy_IV_century_BC_-_Latina.svg";"";67;
1;3;1;"https://en.wikipedia.org/wiki/Latin_War";"https://";"";"en.wikipedia.org";"wiki/Latin_War";"";39;
1;4;1;"https://it.wikipedia.org/wiki/Regioni_dell'Italia_augustea";"https://";"";"it.wikipedia.org";"wiki/Regioni_dell'Italia_augustea";"";58;
1;5;1;"https://adria.italiani.it/adria-tra-lincudine-estense-e-il-martello-veneziano-parte-prima/";"https://";"";"adria.italiani.it";"adria-tra-lincudine-estense-e-il-martello-veneziano-parte-prima/";"";90;
1;6;1;"https://gutenberg.org/files/17124/17124-h/17124-h.htm";"https://";"";"gutenberg.org";"files/17124/17124-h/17124-h.htm";"";53;
1;7;1;"https://it.wikipedia.org/wiki/Pace_di_Lodi";"https://";"";"it.wikipedia.org";"wiki/Pace_di_Lodi";"";42;
1;8;1;"https://it.wikipedia.org/wiki/File:Italy_1796_AD-it.png";"https://";"";"it.wikipedia.org";"wiki/File:Italy_1796_AD-it.png";"";55;
1;9;1;"tinyurl.com/3she39st";"https://";"";"tinyurl.com";"3she39st";"";20;
1;10;1;"https://www.dossier.net/risorse/telefoni/prefissi-italiani/index.html";"https://";"www";"dossier.net";"risorse/telefoni/prefissi-italiani/index.html";"";69;
1;11;1;"elesh.it";"";"";"elesh.it";"";"";8;
1;12;1;"elesh.it";"";"";"elesh.it";"";"";8;
1;13;1;"tinyurl.com/2j76n952";"https://";"";"tinyurl.com";"2j76n952";"";20;
1;14;1;"tinyurl.com/mdv4wxdj";"https://";"";"tinyurl.com";"mdv4wxdj";"";20;
1;15;1;"https://it.wikipedia.org/wiki/Quirico_Filopanti";"https://";"";"it.wikipedia.org";"wiki/Quirico_Filopanti";"";47;
1;16;1;"http://badigit.comune.bologna.it/mappe/175/library.html";"http://";"";"badigit.comune.bologna.it";"mappe/175/library.html";"";55;
1;17;1;"http://badigit.comune.bologna.it/mappe/199/library.html";"http://";"";"badigit.comune.bologna.it";"mappe/199/library.html";"";55;
1;18;1;"https://opendata.comune.bologna.it/pages/home/";"https://";"";"opendata.comune.bologna.it";"pages/home/";"";46;
1;19;1;"https://www.originebologna.com/odonomastica-storica/la-numerazione/";"https://";"www";"originebologna.com";"odonomastica-storica/la-numerazione/";"";67;
1;20;1;"https://www.francescoerrani.it/images/newsletter/Bologna_riforma_dei_quartieri.pdf";"https://";"www";"francescoerrani.it";"images/newsletter/Bologna_riforma_dei_quartieri.pdf";"";82;
1;21;1;"https://it.wikipedia.org/wiki/Quartieri_di_Bologna";"https://";"";"it.wikipedia.org";"wiki/Quartieri_di_Bologna";"";50;
1;22;1;"tinyurl.com/yt68a4s4";"https://";"";"tinyurl.com";"yt68a4s4";"";20;
1;23;1;"https://opendata.comune.bologna.it/explore/dataset/rifter_arcstra_li/information/";"https://";"";"opendata.comune.bologna.it";"explore/dataset/rifter_arcstra_li/information/";"";81;
1;24;1;"euratlas.net";"";"";"euratlas.net";"";"";12;
1;25;1;"maphistory.info";"";"";"maphistory.info";"";"";15;
1;26;1;"istat.it";"";"";"istat.it";"";"";8;
1;27;1;"wikimapia.org";"";"";"wikimapia.org";"";"";13;
1;28;1;"worldmapper.org";"";"";"worldmapper.org";"";"";15;
1;29;1;"storiadimilano.it";"";"";"storiadimilano.it";"";"";17;
1;30;1;"storiaememoriadibologna.it";"";"";"storiaememoriadibologna.it";"";"";26;
1;31;1;"romaierioggi.it";"";"";"romaierioggi.it";"";"";15;
1;32;1;"https://archive.org/web/";"https://";"";"archive.org";"web/";"";24;
1;33;1;"https://www.istat.it/it/archivio/104317";"https://";"www";"istat.it";"it/archivio/104317";"";39;
1;34;1;"https://it.wikipedia.org/wiki/Circoscrizioni_di_Ferrara";"https://";"";"it.wikipedia.org";"wiki/Circoscrizioni_di_Ferrara";"";55;
1;35;1;"https://www.comune.ra.it/il-comune/decentramento/";"https://";"www";"comune.ra.it";"il-comune/decentramento/";"";49;
1;36;1;"tinyurl.com/y8w3jxah";"https://";"";"tinyurl.com";"y8w3jxah";"";20;
1;37;1;"https://www.comune.sassari.it/it/amministrazione/organi-governo/municipalita-della-nurra";"https://";"www";"comune.sassari.it";"it/amministrazione/organi-governo/municipalita-della-nurra";"";88;
1;38;1;"https://www.comune.venezia.it/it/content/venezia-murano-burano";"https://";"www";"comune.venezia.it";"it/content/venezia-murano-burano";"";62;
1;39;1;"https://it.wikipedia.org/wiki/Municipalità_di_Venezia-Murano-Burano";"https://";"";"it.wikipedia.org";"wiki/Municipalità_di_Venezia-Murano-Burano";"";67;
1;40;1;"https://it.wikipedia.org/wiki/Compartimento_marittimo";"https://";"";"it.wikipedia.org";"wiki/Compartimento_marittimo";"";53;
1;41;1;"” e “";"";"";"” e “";"";"";5;
1;42;1;"tinyurl.com";"";"";"tinyurl.com";"";"";11;
1;43;1;"tinyurl.com/2syaaajv";"https://";"";"tinyurl.com";"2syaaajv";"";20;
1;44;1;"tinyurl.com/49hxdaxu";"https://";"";"tinyurl.com";"49hxdaxu";"";20;
1;45;1;"https://palareti.eu/storia-suddivisioni-territoriali/elenco-url-abbreviate.html";"https://";"";"palareti.eu";"storia-suddivisioni-territoriali/elenco-url-abbreviate.html";"";79;
1;46;1;"virtuale.unibo.it";"";"";"virtuale.unibo.it";"";"";17;
1;47;1;"http://badigit.comune.bologna.it/mappe/index.html";"http://";"";"badigit.comune.bologna.it";"mappe/index.html";"";49;
1;48;1;"https://www.europeana.eu/portal/en/collections/maps";"https://";"www";"europeana.eu";"portal/en/collections/maps";"";51;
1;49;1;"https://euratlas.net/history/index.html";"https://";"";"euratlas.net";"history/index.html";"";39;
1;50;1;"https://maphistory.info";"https://";"";"maphistory.info";"";"";23;
1;51;1;"https://maps.lib.utexas.edu/maps/historical/index.html";"https://";"";"maps.lib.utexas.edu";"maps/historical/index.html";"";54;
1;52;1;"http://antique.mrugala.net/Atlas%20antique%20(miror)/carto/liens.html";"http://";"";"antique.mrugala.net";"Atlas%20antique%20(miror)/carto/liens.html";"";69;
1;53;1;"https://www.treccani.it/enciclopedia/rezia_(Enciclopedia-Italiana)";"https://";"www";"treccani.it";"enciclopedia/rezia_(Enciclopedia-Italiana)";"";66;
1;54;1;"https://it.wikipedia.org/wiki/Rezia_(provincia_romana)";"https://";"";"it.wikipedia.org";"wiki/Rezia_(provincia_romana)";"";54;
1;55;1;"https://it.wikipedia.org/wiki/File:Historische_Karte_CH_Rom_1.png";"https://";"";"it.wikipedia.org";"wiki/File:Historische_Karte_CH_Rom_1.png";"";65;
1;56;1;"https://it.wikipedia.org/wiki/Norico_(provincia_romana)";"https://";"";"it.wikipedia.org";"wiki/Norico_(provincia_romana)";"";55;
1;57;1;"https://it.wikipedia.org/wiki/San_Candido";"https://";"";"it.wikipedia.org";"wiki/San_Candido";"";41;
1;58;1;"https://de.wikipedia.org/wiki/Innichen";"https://";"";"de.wikipedia.org";"wiki/Innichen";"";38;
1;59;1;"https://www.treccani.it/enciclopedia/gian-giorgio-trissino_(Enciclopedia-dell'Italiano)";"https://";"www";"treccani.it";"enciclopedia/gian-giorgio-trissino_(Enciclopedia-dell'Italiano)";"";87;
1;60;1;"https://en.wikipedia.org/wiki/J";"https://";"";"en.wikipedia.org";"wiki/J";"";31;
1;61;1;"https://books.google.it/books?id=ksVKAAAAcAAJ";"https://";"";"books.google.it";"books?id=ksVKAAAAcAAJ";"";45;
1;62;1;"https://it.wikisource.org/wiki/De_le_lettere_nu?vamente_aggiunte_ne_la_lingua_Italiana";"https://";"";"it.wikisource.org";"wiki/De_le_lettere_nu?vamente_aggiunte_ne_la_lingua_Italiana";"";86;
1;63;1;"https://it.wikipedia.org/wiki/S_lunga";"https://";"";"it.wikipedia.org";"wiki/S_lunga";"";37;
1;64;1;"ethnologue.com";"";"";"ethnologue.com";"";"";14;
1;65;1;"linguistlist.org";"";"";"linguistlist.org";"";"";16;
1;66;1;"http://multitree.org/search";"http://";"";"multitree.org";"search";"";27;
1;67;1;"https://www.iso.org/iso-3166-country-codes.html";"https://";"www";"iso.org";"iso-3166-country-codes.html";"";47;
1;68;1;"https://it.wikipedia.org/wiki/Confronto_dei_codici_paese_usati_da_CIO,_FIFA_e_ISO_3166";"https://";"";"it.wikipedia.org";"wiki/Confronto_dei_codici_paese_usati_da_CIO,_FIFA_e_ISO_3166";"";86;
1;69;1;"https://en.wikipedia.org/wiki/Country_code_top-level_domain";"https://";"";"en.wikipedia.org";"wiki/Country_code_top-level_domain";"";59;
